Year,Price (in million GBP)
2002,8.7045
2003,9.8855
2004,11.7025
2005,12.8945
2006,14.5255
2007,16.5125
2008,22.62
2009,24.195
2010,25.625
2011,26.935
2012,29.97
2013,30.84
2014,31.2175
2015,32.13
